año,conglome,vivienda,hogar,ubigeop,codperso,mhogar,sexo,edad,estciv,reljh,ocu500,ocupinf,emplpsec,htop,htos,gnestudios,fac500a,ubidpto,htsemps,hocios,salanual,salsem,dominio,estrato,pobreza,estrsocial,zona,inghogpc,gashogpc,inghogpcs,gashogpcs,ln_salsem,ln_inghogpcs,ln_gashogpcs
2022,008621,036,11,190113,04,1,1,26,6,3,1,1,1,48,3,8,52.8143005371094,19,51,117,15118,289.934008273418,5,3,3,4,Urbana,15308.3125,5400.586328125,293.583834040684,103.572803356258,5.66965333940747,5.68216323405511,4.64027477949583
2022,008621,036,11,190113,05,1,1,34,6,3,1,1,2,48,NA,6,55.8471870422363,19,48,120,18359,352.090121569763,5,3,3,4,Urbana,15308.3125,5400.586328125,293.583834040684,103.572803356258,5.86388717001556,5.68216323405511,4.64027477949583
2022,008621,094,11,190113,02,1,1,44,6,3,1,2,NA,44,NA,10,48.7639198303223,19,44,124,22357,428.764031152851,5,3,3,4,Urbana,26603.9244791667,7056.79427083333,510.211830933198,135.335669301733,6.06090672366561,6.23482599425343,4.9077581316349
2022,008621,094,11,190113,03,1,1,28,6,3,1,2,NA,48,NA,10,52.8143005371094,19,48,120,44611,855.552721463517,5,3,3,4,Urbana,26603.9244791667,7056.79427083333,510.211830933198,135.335669301733,6.75174771792496,6.23482599425343,4.9077581316349
2022,008621,121,11,190113,01,1,1,39,5,1,1,2,NA,40,7,10,38.3404731750488,19,47,121,36942,708.476130019619,5,3,3,4,Urbana,44379.96484375,17367.375,851.121913889523,333.072671447119,6.56311636769462,6.74655537787736,5.80836069874511
2022,008621,135,11,190113,01,1,2,64,3,1,1,1,1,10,NA,3,34.2739639282227,19,10,158,341,6.5397206522844,5,3,3,4,Urbana,14574.6419270833,8401.06901041667,279.513451056296,161.116259556271,1.87789445083887,5.63305041686219,5.08212621343433
2022,008621,135,11,190113,02,1,2,38,6,3,1,2,NA,50,NA,10,29.8751621246338,19,50,118,20696,396.909262814305,5,3,3,4,Urbana,14574.6419270833,8401.06901041667,279.513451056296,161.116259556271,5.98370769742122,5.63305041686219,5.08212621343433
2022,008621,135,11,190113,03,1,2,26,6,3,1,2,NA,50,NA,10,38.6449127197266,19,50,118,13061.9794921875,250.503510395231,5,3,3,4,Urbana,14574.6419270833,8401.06901041667,279.513451056296,161.116259556271,5.52347293398055,5.63305041686219,5.08212621343433
2022,008625,002,11,190109,01,1,2,50,6,1,1,1,1,3,33,10,133.411422729492,19,36,132,17952,344.284648533166,5,3,3,5,Urbana,10035.3294270833,4624.3076171875,192.458214389367,88.6852786704901,5.84146878187778,5.25987906205796,4.48509390790316
2022,008625,034,11,190109,01,1,1,67,2,1,1,2,NA,0,NA,6,128.999801635742,19,0,168,36194,694.130936330737,5,3,3,5,Urbana,22587.03125,8678.60091145833,433.175585746094,166.438784790611,6.5426606117755,6.07114315561183,5.11462758290214
2022,008625,034,11,190109,03,1,2,20,6,3,1,1,2,40,NA,9,199.378479003906,19,40,128,12476,239.265556768036,5,3,3,5,Urbana,22587.03125,8678.60091145833,433.175585746094,166.438784790611,5.47757405128305,6.07114315561183,5.11462758290214
2022,008625,046,11,190109,01,1,1,72,2,1,1,1,1,35,35,5,120.963554382324,19,70,98,4212.5,80.7876048321056,5,3,2,5,Urbana,5000.36015625,2008.01328125,95.8972392454198,38.5098120980997,4.39182354821597,4.56327719362746,3.65091306851343
